Type,date,staff_confirmed_cases,patients_confirmed_cases,staff_deaths,patients_deaths
SN,6/25/2020,7922,12592,90,2334
SN,6/24/2020,7865,12566,91,2350
SN,6/23/2020,7739,12400,91,2321
SN,6/22/2020,7655,12282,89,2299
SN,6/21/2020,7554,12173,87,2278
SN,6/20/2020,7301,11947,86,2228
SN,6/19/2020,7301,11947,86,2228
SN,6/18/2020,7136,11677,86,2191
SN,6/17/2020,7055,11529,85,2176
SN,6/16/2020,6943,11431,82,2154
SN,6/15/2020,6854,11349,82,2131
SN,6/14/2020,6796,11249,72,2113
SN,6/13/2020,6706,11146,68,2096
SN,6/12/2020,6624,11070,67,2080
SN,6/11/2020,6584,11010,67,2068
SN,6/10/2020,6499,10841,67,2041
SN,6/9/2020,6381,10716,64,2003
SN,6/8/2020,6265,10579,62,1985
SN,6/7/2020,6204,10480,60,1972
SN,6/6/2020,6099,10308,57,1958
SN,6/5/2020,5981,10151,56,1933
SN,6/4/2020,5895,10012,55,1908
SN,6/3/2020,5825,9903,54,1874
SN,6/2/2020,5746,9749,52,1835
SN,6/1/2020,5702,9718,49,1807
SN,5/29/2020,5490,9273,45,1735
SN,5/28/2020,5429,9209,64,1701
SN,5/27/2020,5245,9028,61,1632
SN,5/22/2020,0,7908,0,1434
SN,5/21/2020,0,7908,0,1434
SN,5/20/2020,0,7908,0,1434
SN,5/18/2020,2886,4856,26,848
SN,5/15/2020,2886,4856,26,848
SN,5/14/2020,3492,5971,21,1150
SN,5/12/2020,3658,6250,23,1058
SN,5/11/2020,3684,6025,19,977
SN,5/10/2020,3684,6025,19,977
SN,5/9/2020,3665,6060,18,1020
SN,5/8/2020,3682,6045,19,1033
SN,5/7/2020,3545,5709,19,979
SN,5/6/2020,3349,5604,17,929
SN,5/5/2020,3091,4909,15,748
SN,5/4/2020,3299,4782,15,733
SN,5/2/2020,2723,4569,11,644
SN,5/1/2020,2775,4189,1,658
SN,4/30/2020,2697,4711,11,663
SN,4/29/2020,2594,3923,19,618
SN,4/28/2020,2323,3515,1,578
SN,4/25/2020,2329,3441,1,545
SN,4/24/2020,2099,3141,1,486
SN,4/19/2020,1279,1721,0,0
SC,6/24/2020,,3099,,406
SC,6/23/2020,,3008,,400
SC,6/22/2020,,2969,,398
SC,6/21/2020,,2953,,394
SC,6/20/2020,,2900,,393
SC,6/19/2020,,2863,,389
SC,6/18/2020,,2812,,388
SC,6/17/2020,,2777,,383
SC,6/16/2020,,2706,,377
SC,6/15/2020,,2680,,376
SC,6/14/2020,,2665,,375
SC,6/13/2020,,2586,,369
SC,6/12/2020,,2562,,373
SC,6/11/2020,,2506,,366
SC,6/10/2020,,2476,,362
SC,6/9/2020,,2440,,357
SC,6/8/2020,,2420,,351
SC,6/7/2020,,2390,,349
SC,6/6/2020,,2375,,348
SC,6/5/2020,,2349,,344
SC,6/4/2020,,2299,,342
SC,6/3/2020,,2277,,336
SC,6/2/2020,,2207,,331
SC,6/1/2020,,2195,,328
SC,5/31/2020,,2192,,326
SC,5/30/2020,,2173,,323
SC,5/29/2020,,2194,,310
SC,5/28/2020,,2164,,305
SC,5/27/2020,,2143,,305
SC,5/26/2020,,2134,,303
SC,5/25/2020,,2122,,302
SC,5/24/2020,,2104,,300
SC,5/22/2020,,2036,,295
SC,5/21/2020,,1997,,290
SC,5/20/2020,,1861,,284
SC,5/19/2020,,1929,,272
SC,5/18/2020,,1904,,269
SC,5/17/2020,,1876,,268
SC,5/16/2020,,1873,,266
SC,5/15/2020,,1834,,262
SC,5/14/2020,,1803,,257
SC,5/13/2020,,1767,,250
SC,5/12/2020,,1730,,241
SC,5/11/2020,,1708,,231
SC,5/10/2020,,1667,,229
SC,5/9/2020,,1644,,228
SC,5/8/2020,,1617,,224
SC,5/7/2020,,1602,,216
SC,5/6/2020,,1552,,201
SC,5/5/2020,,1473,,187
SC,5/4/2020,,1430,,178
SC,5/3/2020,,1419,,177
SC,5/2/2020,,1404,,175
SC,5/1/2020,,1340,,170
SC,4/29/2020,,1267,,155
SC,4/28/2020,,1198,,147
SC,4/27/2020,,1179,,146
